Data_center,power_usage_2023_kwh,power_usage_per_hour_2023_kwh,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,market,Number_of_Market_Data_Centers,states,Number_of_States_Data_Centers
China Telecom Santa Clara,33566.97482,3.831846441,2807 Mission College Blvd,-121.9783138,37.3939893,ROOFTOP,Santa Clara,64,California,271
Equinix SV6,33566.97482,3.831846441,444 Toyama Drive,-122.0145748,37.3995678,ROOFTOP,Santa Clara,64,California,271
CoreSite Santa Clara (SV7),33566.97482,3.831846441,3020 Coronado Drive,-121.9728709,37.3764727,ROOFTOP,Santa Clara,64,California,271
Equinix SV14,33566.97482,3.831846441,2960 Corvin Drive,-121.9888098,37.3749528,ROOFTOP,Santa Clara,64,California,271
CoreSite Santa Clara (SV5),33566.97482,3.831846441,2950 Stender Way,-121.970755,37.375217,ROOFTOP,Santa Clara,64,California,271
Equinix SV15,33566.97482,3.831846441,2970 Corvin Drive,-121.988525,37.375705,ROOFTOP,Santa Clara,64,California,271
Equinix SV16,33566.97482,3.831846441,3000 Corvin Drive,-121.9884071,37.3763211,ROOFTOP,Santa Clara,64,California,271
Amazon AWS SFO - 960 Central,33566.97482,3.831846441,960 Central Expy,-121.9539218,37.373321,ROOFTOP,Santa Clara,64,California,271
Amazon AWS SFO - 2305 Mission A,33566.97482,3.831846441,2305 Mission College Blvd,-121.9671293,37.3900212,ROOFTOP,Santa Clara,64,California,271
Amazon AWS SFO - 2305 Mission B,33566.97482,3.831846441,2305 Mission College Blvd,-121.9671293,37.3900212,ROOFTOP,Santa Clara,64,California,271
Vantage CA2 - Building 1,33566.97482,3.831846441,765 Mathew St,-2.9874031,53.4063715,GEOMETRIC_CENTER,Santa Clara,64,California,271
Vantage CA2 - Building 3,33566.97482,3.831846441,737 Mathew St,-121.9473071,37.3644346,ROOFTOP,Santa Clara,64,California,271
Vantage CA2 - Building 2,33566.97482,3.831846441,651 Mathew St,-2.9874031,53.4063715,GEOMETRIC_CENTER,Santa Clara,64,California,271
Vantage CA2 -Santa Clara II Campus,33566.97482,3.831846441,625-765 Mathew St,-2.9874031,53.4063715,GEOMETRIC_CENTER,Santa Clara,64,California,271
